,question,answer,cypher,contexts
42,Que préscrire pour un état de mal épileptique ?,"Pour un état de mal épileptique, on peut prescrire les suivants :
  - Médicaments anticonvulsants (Dilantin, Lamictal, Tegretol)
  - Valproate sodium (Depakote)
  - Clonazepam (Klonopin)
  - Gabapentin (Neurontin)
  - Phenobarbital.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Mal épileptique"") return dci.name_fr as Traitements'}",[]
43,"j'ai une migraine, que dois-je faire ?","Il semble que vous souffriez de migraines. Voici quelques symptômes qui peuvent s'associer à cette pathologie :
  - Troubles visuels
  - Céphalées occasionnelles
  - Phonophobie (hypersensibilité au bruit)
  - Vomissements
  - Nausées
  - Photophobie (hypersensibilité à la lumière)
  - Céphalées pulsatiles
  - Céphalées de l'hémicrâne
  - Céphalée durant de 4 à 72h

Il est important de consulter un médecin pour obtenir une diagnostique et des soins appropriés.","{'query': 'MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""migraine"") return m.name_fr'}","[{'m.name_fr': 'Troubles visuels'}, {'m.name_fr': 'Céphalées occasionnelles'}, {'m.name_fr': 'Phonophobie (hypersensibilité au bruit)'}, {'m.name_fr': 'Vomissements'}, {'m.name_fr': 'Nausées'}, {'m.name_fr': 'Photophobie (hypersensibilité à la lumière)'}, {'m.name_fr': 'Céphalées pulsatiles'}, {'m.name_fr': ""Céphalées de l'hémicrâne""}, {'m.name_fr': 'Céphalée durant de 4 à 72h'}]"
44,Que donne un médecin pour une céphalée de tension ?,Le médecin peut vous prescrire de l'amitriptyline chlorhydrate pour traiter la céphalée de tension.,"{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Céphalée de tension"") return dci.name_fr as traitement'}",[{'traitement': 'amitriptyline chlorhydrate'}]
45,Comment prendre en charge la névralgie du trijumeau ?,La névralgie du trijumeau peut être traitée par le médicament carbamazépine.,"{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Névralgie du trijumeau"")\n    return dci.name_fr as Traitements'}",[{'Traitements': 'carbamazépine'}]
46,Quels médicaments prendre pour un trouble affectif bipolaire ?,L'un des médicaments pour un trouble affectif bipolaire est la quétiapine.,"{'query': '\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Trouble affectif bipolaire"") return dci.name_fr as Medications'}",[{'Medications': 'quétiapine'}]
47,Quelle prise en charge possibles pour les troubles anxieux phobiques ?,"Les troubles anxieux phobiques peuvent être traités de plusieurs façons, par exemple par la prise en charge suivante :
  - Cyamémazine
  - Sulpiride
  - Buspirone chlorhydrate
  - Étifoxine chlorhydrate","{'query': '\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Troubles anxieux phobiques"") return dci.name_fr as traitements'}","[{'traitements': 'cyamémazine'}, {'traitements': 'sulpiride'}, {'traitements': 'buspirone chlorhydrate'}, {'traitements': 'étifoxine chlorhydrate'}]"
48,Comment traiter les phobies sociales ?,,"{'query': '\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Troubles anxieux phobiques"") return dci.name_fr as traitements'}",
49,Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,"Les alternatives thérapeutiques pour l'anxiété généralisée sont les suivantes :
  - médications anti-anxieux (comme la benzodiazépine)
  - psychanalyses
  - thérapies cognitive-comportementales
  - électrochocs crénaux répétitifs.","{'query': '\nMATCH (d:Disease)-[:has_treatment]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""anxiété généralisée"") return dci.name_fr as traitements'}",[]
50,Comment se manifeste la laryngite aiguë ?,"La laryngite aiguë se manifeste par les symptômes suivants :
  - Stridor (souffle respiratoire de la trachée)
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Rougeurs nasales
  - Dysphagie
  - Myalgies
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)
  - Dysphonie
  - Respiration par la bouche
  - Obstruction nasale","{'query': '\nMATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Laryngite aiguë"")  return m.name_fr'}","[{'m.name_fr': 'Stridor'}, {'m.name_fr': 'Toux rauque aboyante'}, {'m.name_fr': 'Troubles de la voix'}, {'m.name_fr': 'Aphonie (Perte de la voix)'}, {'m.name_fr': 'Douleur de la gorge'}, {'m.name_fr': 'Toux sèche'}, {'m.name_fr': 'Raclement de la gorge'}, {'m.name_fr': 'Rougeurs nasales'}, {'m.name_fr': 'Dysphagie'}, {'m.name_fr': 'Myalgies'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)'}, {'m.name_fr': 'Dysphonie'}, {'m.name_fr': 'Respiration par la bouche'}, {'m.name_fr': 'Obstruction nasale'}]"
51,Quels sont les signes cliniques d'un syndrome des antisynthétases ?,L'arthrite non précisée est un symptôme de syndrome des antisynthétases.,"{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Syndrome des antisynthétases"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Syndrome des antisynthétases"") return m.name_fr'}","[{'m.name_fr': 'Arthrite, non précisée'}, {'m.name_fr': 'Main de mécanicien'}]"
52,À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"La présentation clinique de la rétinopathie de Vasalva comprend les symptômes suivants :
  - Hémorragie rétinienne
  - Cécité.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Rétinopathie de Vasalva"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Rétinopathie de Vasalva"") return m.name_fr'}","[{'m.name_fr': 'Hémorragie rétinienne'}, {'m.name_fr': 'Cécité'}]"
53,Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"Les signes de la protéinose alvéolaire incluent :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Protéinose alvéolaire"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Protéinose alvéolaire"") return m.name_fr'}","[{'m.name_fr': ""Dyspnée d'effort""}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
54,Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,"La BPCO non-tabagique comprend les signes suivants :
  - Toux persistante et non productive (absence de mucus)
  - Douleur thoracique chronique ou irritation dans la région thoracique
  - Fatigue persistante
  - Difficulté à respirer, en particulier lors d'efforts physiques
  - Tachypnée (respiration rapide)
  - Rides thoraciques visibles
  - Bruit respiratoire audible avec un stethoscope.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = ""BPCO non-tabagique"" return m.name_fr'}",[]
55,Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,"Les symptômes cliniques associés à l'endométriose pleuro-pulmonaire comprennent :
  - Hémoptysie
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Endométriose pleuro-pulmonaire"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Endométriose pleuro-pulmonaire"") return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
56,Quels signes évoquent un lymphome pulmonaire primitif ?,"Les signes évoquent un lymphome pulmonaire primitif sont :
  - Asthénie / Fatigue
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique
  - Splénomégalie, non classée ailleurs
  - Hépatomégalie, non classée ailleurs
  - Adénopathies.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Lymphome Pulmonaire Primitif"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Lymphome Pulmonaire Primitif"") return m.name_fr'}","[{'m.name_fr': 'AEG / Asthénie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Splénomégalie, non classée ailleurs'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Adénopathies'}]"
57,Quels sont les signes typiques de la fièvre typhoïde ?,"Les signes typiques de la fièvre typhoïde sont les suivants :
  - Fièvre supérieure ou égale à 39°C
  - Douleur abdominale
  - Toux
  - Céphalées
  - Frissons
  - Exanthème roséoliforme (éruption cutanée)
  - Diarrhée aigue

Pour en savoir plus sur la fièvre typhoïde, vous pouvez consulter le Centre National de Référence des Maladies Infectieuses.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""fièvre typhoïde"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""fièvre typhoïde"") return m.name_fr'}","[{'m.name_fr': 'Hyperhidrose (Hypersudation, Sueur excessive)'}, {'m.name_fr': 'Fièvre supérieure ou égale à 39°C'}, {'m.name_fr': 'Eruption cutanée'}, {'m.name_fr': 'Douleur abdominale'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Céphalées'}, {'m.name_fr': 'Frissons'}, {'m.name_fr': 'Fièvre'}, {'m.name_fr': 'Exanthème roséoliforme'}, {'m.name_fr': 'Diarrhée aigue'}]"
58,Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"L'entérite à Salmonella se manifeste cliniquement de la manière suivante :
- Fièvre
- Vomissements aigus
- Diarrhée glairo sanglante
- Diarrhée aigue.","{'query': 'MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Entérite à Salmonella"")  return m.name_fr'}","[{'m.name_fr': 'Fièvre'}, {'m.name_fr': 'Vomissements aigus'}, {'m.name_fr': 'Diarrhée glairo sanglante'}, {'m.name_fr': 'Diarrhée aigue'}]"
59,Quels sont les signes cliniques attachés à la dermatophytose ?,"Les lésions annulaires d'évolution centrifuge, les lésions de la peau glabre et les lésions situées au niveau des grands plis sont des signes cliniques attachés à la dermatophytose.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""dermatophytose"")  return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""dermatophytose"") return m.name_fr'}","[{'m.name_fr': ""Lésion annulaire d'évolution centrifuge""}, {'m.name_fr': 'Lésion de la peau glabre'}, {'m.name_fr': 'Lésion située au niveau des grands plis '}]"
60,Quel est le tableau clinique d'une septicemie à Candida ?,"La septicémie à Candida comprend les symptômes suivants :
  - Fébricule
  - Douleurs abdominales
  - Douleurs myalgiques
  - Éruptions cutanées
  - Hépatosplénomégalie.","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Septiémie à Candida"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Septiémie à Candida"") return m.name_fr'}",[]
61,À quoi ressemble la présentation clinique de l'échinococcose ?,"L'échinococcose présente les symptômes suivants :
  - Hémoptysie (hémoptysée)
  - Toux
  - Hépatomégalie, non classée ailleurs (grand foie)
  - Ictère, sans précision (jaunisse).","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""échinococcose"")  return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Ictère, sans précision (jaunisse)'}]"
62,Quels signes cliniques orientent vers un hyperaldostéronisme ?,,"{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""échinococcose"")  return m.name_fr'}",
63,Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,"Le stress post-traumatique peut être traité avec :
  - Sertraline
  - Paroxétine","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""etat de stress post-traumatique"") return dci.name_fr as Traitements'}","[{'Traitements': 'sertraline'}, {'Traitements': 'paroxétine'}]"
64,Je pense avoir une énurésie non organique que dois-je faire ?,,"{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""etat de stress post-traumatique"") return dci.name_fr as Traitements'}",
65,Quels médicaments donner pour une chorée de Huntington ?,Le pimozide et l'halopéridol sont des médicaments donnés pour une chorée de Huntington.,"{'query': 'MATCH (d: Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = apoc.text.clean(""Chorée de Huntington"") return dci.name_fr'}","[{'dci.name_fr': 'pimozide'}, {'dci.name_fr': 'halopéridol'}]"
66,Comment on traite l'épilepsie ?,"Le traitement de l'épilepsie comprend les suivants médicaments : prégabaline, lamotrigine, carbamazépine et clobazam.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Épilepsie"")\n    return dci.name_fr as Traitements'}","[{'Traitements': 'prégabaline'}, {'Traitements': 'lamotrigine'}, {'Traitements': 'carbamazépine'}, {'Traitements': 'clobazam'}]"
67,Que préscrire pour un état de mal épileptique ?,Le traitement pour un état de mal épileptique peut inclure du diazépam.,"{'query': '\nMATCH (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""État de mal épileptique"") return dci.name_fr as traitements'}",[{'traitements': 'diazépam'}]
68,"j'ai une migraine, que dois-je faire ?","Vos symptômes peuvent indiquer que vous avez une migraine. Voici les symptômes qui semblent être pertinents :
  - Troubles visuels
  - Céphalées occasionnelles
  - Phonophobie (hypersensibilité au bruit)
  - Vomissements
  - Nausées
  - Photophobie (hypersensibilité à la lumière)
  - Céphalées pulsatiles
  - Céphalées de l'hémicrâne
  - Céphalée durant de 4 à 72h.

Il est recommandé d'aller voir un médecin pour obtenir une meilleure compréhension de votre état de santé et des conseils sur la prise en charge de votre migraine.","{'query': 'match (n:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = ""migraine"" return m.name_fr'}","[{'m.name_fr': 'Troubles visuels'}, {'m.name_fr': 'Céphalées occasionnelles'}, {'m.name_fr': 'Phonophobie (hypersensibilité au bruit)'}, {'m.name_fr': 'Vomissements'}, {'m.name_fr': 'Nausées'}, {'m.name_fr': 'Photophobie (hypersensibilité à la lumière)'}, {'m.name_fr': 'Céphalées pulsatiles'}, {'m.name_fr': ""Céphalées de l'hémicrâne""}, {'m.name_fr': 'Céphalée durant de 4 à 72h'}]"
69,Que donne un médecin pour une céphalée de tension ?,"Un médecin prescrive généralement un médicament pour la céphalée de tension comme :
- Acétaminophène (paracétamol)
- Ibuprofène (aspirine)
- Naproxène
- Paracetamol-codeïne.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = ""Céphalée de tension"" return dci.name_fr as Traitements'}",[]
70,Comment prendre en charge la névralgie du trijumeau ?,"Pour traiter la névralgie du trijumeau, on peut utiliser le médicament suivant :
- Carbamazépine","{'query': '\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Névralgie du trijumeau"") return dci.name_fr as Traitements'}",[{'Traitements': 'carbamazépine'}]
71,Quels médicaments prendre pour un trouble affectif bipolaire ?,"Pour un trouble affectif bipolaire, vous pouvez prendre la médication suivante :
- Quétiapine","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""trouble affectif bipolaire"") return dci.name_fr as Medications'}",[{'Medications': 'quétiapine'}]
72,Quelle prise en charge possibles pour les troubles anxieux phobiques ?,"Les troubles anxieux phobiques peuvent être traités avec les prises en charge suivantes :
  - Cyamémazine
  - Sulpiride
  - Buspirone chlorhydrate
  - Etifoxine chlorhydrate","{'query': '\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""troubles anxieux phobiques"") return dci.name_fr as prisesEnCharge'}","[{'prisesEnCharge': 'cyamémazine'}, {'prisesEnCharge': 'sulpiride'}, {'prisesEnCharge': 'buspirone chlorhydrate'}, {'prisesEnCharge': 'étifoxine chlorhydrate'}]"
73,Comment traiter les phobies sociales ?,"Les phobies sociales peuvent être traitées par les médicaments suivants :
  - Escitalopram
  - Venlafaxine
  - Sertraline
  - Paroxétine","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Phobies sociales"") return dci.name_fr as Traitements'}","[{'Traitements': 'escitalopram'}, {'Traitements': 'venlafaxine'}, {'Traitements': 'sertraline'}, {'Traitements': 'paroxétine'}]"
74,Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,"Les alternatives thérapeutiques pour l'anxiété généralisée sont les suivantes :
  - Méthodes de relaxation
  - Méthode de la rééducation cognitivo-comportementale
  - Antidépresseurs tricycliques et autres médicaments antidépresseurs
  - Bénzodiazépines
  - Électrochocs transcrâniens répétés.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = apoc.text.clean(""Anxiété générale"") return dci.name_fr as Alternatives'}",[]
75,Comment se manifeste la laryngite aiguë ?,"La laryngite aiguë se manifeste par les symptômes suivants :
  - Stridor (bruit inspiré ou expiré)
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Rougeurs nasales
  - Dysphagie (difficultés à manger ou boire)
  - Myalgies
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)
  - Dysphonie
  - Respiration par la bouche
  - Obstruction nasale
  - Toux
  - Dyspnée
  - Altération [baisse] de l'état général (AEG)
  - Adénopathies cervicales
  - Fièvre.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Laryngite aiguë"")  return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Laryngite aiguë"") return m.name_fr'}","[{'m.name_fr': 'Stridor'}, {'m.name_fr': 'Toux rauque aboyante'}, {'m.name_fr': 'Troubles de la voix'}, {'m.name_fr': 'Aphonie (Perte de la voix)'}, {'m.name_fr': 'Douleur de la gorge'}, {'m.name_fr': 'Toux sèche'}, {'m.name_fr': 'Raclement de la gorge'}, {'m.name_fr': 'Rougeurs nasales'}, {'m.name_fr': 'Dysphagie'}, {'m.name_fr': 'Myalgies'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)'}, {'m.name_fr': 'Dysphonie'}, {'m.name_fr': 'Respiration par la bouche'}, {'m.name_fr': 'Obstruction nasale'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Dyspnée'}, {'m.name_fr': ""Altération [baisse] de l'état général (AEG)""}, {'m.name_fr': 'Adénopathies cervicales'}, {'m.name_fr': 'Fièvre'}]"
76,Quels sont les signes cliniques d'un syndrome des antisynthétases ?,"Le syndrome des antisynthétases comprend les signes cliniques suivants : Arthrite non précisée, Main de mécanicien.","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""syndrome des antisynthétases"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""syndrome des antisynthétases"") return m.name_fr'}","[{'m.name_fr': 'Arthrite, non précisée'}, {'m.name_fr': 'Main de mécanicien'}]"
77,À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"La rétinopathie de Vasalva ressemble aux symptômes suivants :
  - Hémorragie rétinienne
  - Cécité","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""rétinopathie de vasalva"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""rétinopathie de vasalva"") return m.name_fr'}","[{'m.name_fr': 'Hémorragie rétinienne'}, {'m.name_fr': 'Cécité'}]"
78,Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"La protéinose alvéolaire est caractérisée par les signes suivants :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'cypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Protéinose alvéolaire"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Protéinose alvéolaire"") return m.name_fr'}","[{'m.name_fr': ""Dyspnée d'effort""}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
79,Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,La BPCO non-tabagique peut être accompagnée de la dyspnée et de la toux.,"{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""BPCO non-tabagique"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""BPCO non-tabagique"") return m.name_fr'}","[{'m.name_fr': 'Dyspnée'}, {'m.name_fr': 'Toux'}]"
80,Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,,"{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""BPCO non-tabagique"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""BPCO non-tabagique"") return m.name_fr'}",
81,Quels signes évoquent un lymphome pulmonaire primitif ?,"Les signes évoquant un lymphome pulmonaire primitif comprennent :
  - Asthénie / Fatigue
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique
  - Splénomégalie, non classée ailleurs
  - Hépatomégalie, non classée ailleurs
  - Adénopathies.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Lymphome pulmonaire primitif"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Lymphome pulmonaire primitif"") return m.name_fr'}","[{'m.name_fr': 'AEG / Asthénie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Splénomégalie, non classée ailleurs'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Adénopathies'}]"
82,Quels sont les signes typiques de la fièvre typhoïde ?,"La fièvre typhoïde présente les symptômes suivants :
- Fièvre élevée, souvent supérieure à 38,5 degrés Celsius.
- Toux sèche et sans caractère typique.
- Mal de tête et/ou douleurs abdominales.
- Vomissements.
- Diarrhées.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = ""fièvre typhoïde"" return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = ""fièvre typhoïde"" return m.name_fr'}",[]
83,Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"L'entérite à Salmonella se manifeste cliniquement par les symptômes suivants :
  - Fièvre
  - Vomissements aigus
  - Diarrhée glairo sanglante
  - Diarrhée aigue.","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Entérite à Salmonella"")  return m.name_fr'}","[{'m.name_fr': 'Fièvre'}, {'m.name_fr': 'Vomissements aigus'}, {'m.name_fr': 'Diarrhée glairo sanglante'}, {'m.name_fr': 'Diarrhée aigue'}]"
84,Quels sont les signes cliniques attachés à la dermatophytose ?,"La dermatophytose est associée à différents types de lésions. Voici quelques exemples :
  - Lésion annulaire d'évolution centrifuge
  - Lésion de la peau glabre
  - Lésion située au niveau des grands plis","{'query': '\nMATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""dermatophytose"")  return m.name_fr'}","[{'m.name_fr': ""Lésion annulaire d'évolution centrifuge""}, {'m.name_fr': 'Lésion de la peau glabre'}, {'m.name_fr': 'Lésion située au niveau des grands plis '}]"
85,Quel est le tableau clinique d'une septicemie à Candida ?,"La septicemie à Candida comprend les symptômes suivants :
  - Fièvre","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(""septicemie à candida"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(""septicemie à candida"") return m.name_fr'}",[{'m.name_fr': 'Fièvre'}]
